BlockNumber,StreetName,helper,State,City,Street_Address,Full_St_Address
2400.0,"ARLINGTON BLVD, 3",keep,Virginia,Charlottesville,2400 ARLINGTON BLVD,"2400 ARLINGTON BLVD, CHARLOTTESVILLE, VA"
1900.0,"JEFFERSON PARK AVE, 38",keep,Virginia,Charlottesville,1900 JEFFERSON PARK AVE,"1900 JEFFERSON PARK AVE, CHARLOTTESVILLE, VA"
1300.0,EARLY ST,keep,Virginia,Charlottesville,1300 EARLY ST,"1300 EARLY ST, CHARLOTTESVILLE, VA"
1400.0,"BAKER ST, A",keep,Virginia,Charlottesville,1400 BAKER ST,"1400 BAKER ST, CHARLOTTESVILLE, VA"
600.0,"ROSE HILL DR, A",keep,Virginia,Charlottesville,600 ROSE HILL DR,"600 ROSE HILL DR, CHARLOTTESVILLE, VA"
1700.0,"CEDAR HILL RD, B",keep,Virginia,Charlottesville,1700 CEDAR HILL RD,"1700 CEDAR HILL RD, CHARLOTTESVILLE, VA"
nan,MONTICELLO RD / CARLTON AVE,drop,Virginia,Charlottesville,MONTICELLO RD / CARLTON AVE,"MONTICELLO RD / CARLTON AVE, CHARLOTTESVILLE, VA"
1300.0,"CARLTON AVE, 111",keep,Virginia,Charlottesville,1300 CARLTON AVE,"1300 CARLTON AVE, CHARLOTTESVILLE, VA"
nan,12 1/2 ST NW,drop,Virginia,Charlottesville,12 1/2 ST NW,"12 1/2 ST NW, CHARLOTTESVILLE, VA"
2100.0,"JEFFERSON PARK AVENUE AVE, 33",keep,Virginia,Charlottesville,2100 JEFFERSON PARK AVENUE AVE,"2100 JEFFERSON PARK AVENUE AVE, CHARLOTTESVILLE, VA"
200.0,"14TH ST NW, 404",keep,Virginia,Charlottesville,200 14TH ST NW,"200 14TH ST NW, CHARLOTTESVILLE, VA"
